5000,64.5
10000,52.1
15000,51.4
20000,51.7
25000,48.1
30000,50.0
35000,65.9
40000,43.6
45000,47.4
50000,46.8
55000,48.6
60000,41.9
65000,49.7
70000,43.7
75000,42.2
80000,49.0
85000,44.7
90000,57.7
95000,41.9
100000,45.2
105000,47.0
110000,51.1
115000,55.7
120000,66.3
125000,61.3
130000,59.0
135000,48.0
140000,45.5
145000,46.9
150000,54.8
155000,48.7
160000,55.2
165000,62.4
170000,63.1
175000,54.4
180000,50.8
185000,49.0
190000,57.5
195000,52.5
200000,46.6
205000,64.8
210000,56.0
215000,54.0
220000,57.2
225000,53.3
230000,50.3
235000,57.0
240000,63.4
245000,53.5
250000,64.4
255000,50.7
260000,52.9
265000,51.9
270000,62.0
275000,58.2
280000,62.7
285000,54.5
290000,57.0
295000,57.6
300000,61.1
305000,61.7
310000,64.8
315000,51.8
320000,61.9
325000,52.3
330000,64.0
335000,60.5
340000,63.3
345000,62.3
350000,67.6
355000,63.4
360000,135.6
365000,176.9
370000,170.5
375000,169.7
380000,167.2
385000,171.5
390000,174.3
395000,169.2
400000,177.6
405000,163.1
410000,167.5
415000,157.9
420000,146.0
425000,108.2
430000,149.0
435000,146.6
440000,152.2
445000,172.0
450000,171.7
455000,163.2
460000,171.7
465000,167.1
470000,164.7
475000,165.3
480000,159.9
485000,168.0
490000,159.9
495000,162.4
500000,171.9
505000,162.6
510000,155.4
515000,160.5
520000,160.6
525000,158.0
530000,151.4
535000,169.9
540000,159.7
545000,167.3
550000,172.6
555000,165.8
560000,169.7
565000,160.6
570000,165.6
575000,170.6
580000,172.2
585000,167.3
590000,168.8
595000,145.8
600000,165.7
605000,153.2
610000,166.6
615000,156.1
620000,164.4
625000,160.5
630000,154.7
635000,170.6
640000,163.1
645000,170.4
650000,170.1
655000,173.3
660000,169.3
665000,162.6
670000,167.4
675000,154.4
680000,171.2
685000,156.6
690000,150.9
695000,163.4
700000,169.1
705000,168.7
710000,164.4
715000,160.2
720000,157.6
725000,171.9
730000,163.2
735000,169.1
740000,167.9
745000,171.1
750000,161.4
755000,160.9
760000,163.3
765000,168.2
770000,150.6
775000,165.3
780000,161.2
785000,169.1
790000,164.4
795000,168.1
800000,169.6
